stop_id,stop_name,stop_lat,stop_lon,route_short_name,route_type,route_color
at:49:1813:0:1,Akademietheater,48.20000336,16.37704222,4A,3,0A295D
at:49:1813:0:2,Akademietheater,48.20030274,16.37679069,4A,3,0A295D
at:49:1713:0:1,Akkonplatz,48.2013266,16.31464524,12A,3,0A295D
at:49:1713:0:2,Akkonplatz,48.20133857,16.31440269,12A,3,0A295D
at:49:14:0:10,Alaudagasse,48.15285957,16.38183024,16A,3,0A295D
at:49:14:0:11,Alaudagasse,48.15256591,16.38175837,17A,3,0A295D
at:49:14:0:12,Alaudagasse,48.15264382,16.38178532,17A,3,0A295D
at:49:14:0:4,Alaudagasse,48.15339295,16.38223448,19A,3,0A295D
at:49:14:0:13,Alaudagasse,48.15421399,16.38262974,67A,3,0A295D
at:49:14:0:14,Alaudagasse,48.15272173,16.3820099,67A,3,0A295D
at:49:14:0:13,Alaudagasse,48.15421399,16.38262974,67B,3,0A295D
at:49:14:0:14,Alaudagasse,48.15272173,16.3820099,67B,3,0A295D
at:49:14:0:11,Alaudagasse,48.15256591,16.38175837,N17,3,NA
at:49:14:0:14,Alaudagasse,48.15272173,16.3820099,N67,3,0A295D
at:49:14:0:4,Alaudagasse,48.15339295,16.38223448,N67,3,0A295D
at:49:14:0:8,Alaudagasse,48.15349483,16.38243211,U1,1,E3000F
at:49:14:0:9,Alaudagasse,48.15349483,16.38231533,U1,1,E3000F
at:49:15:0:2,Albern,48.1599369,16.48510056,76A,3,0A295D
at:49:15:0:1,Albern,48.16042227,16.48514548,76A,3,0A295D
at:49:15:0:1,Albern,48.16042227,16.48514548,76B,3,0A295D
at:49:15:0:2,Albern,48.1599369,16.48510056,76B,3,0A295D
at:49:15:0:4,Albern,48.15967324,16.48472327,76B,3,0A295D
at:49:16:0:1,Alberner Hafen,48.15833694,16.49471254,76A,3,0A295D
at:49:16:0:1,Alberner Hafen,48.15833694,16.49471254,76B,3,0A295D
at:49:17:0:2,Alberner Hafenzufahrtsstraße,48.17189602,16.47284754,73A,3,0A295D
at:49:17:0:2,Alberner Hafenzufahrtsstraße,48.17189602,16.47284754,76A,3,0A295D
at:49:17:0:3,Alberner Hafenzufahrtsstraße,48.17235133,16.47210194,76A,3,0A295D
at:49:17:0:1,Alberner Hafenzufahrtsstraße,48.17196791,16.47229059,79A,3,0A295D
at:49:17:0:2,Alberner Hafenzufahrtsstraße,48.17189602,16.47284754,79A,3,0A295D
at:49:17:0:2,Alberner Hafenzufahrtsstraße,48.17189602,16.47284754,79B,3,0A295D
at:49:17:0:1,Alberner Hafenzufahrtsstraße,48.17196791,16.47229059,79B,3,0A295D
at:49:17:0:3,Alberner Hafenzufahrtsstraße,48.17235133,16.47210194,79B,3,0A295D
at:49:141:0:1,Alberner Hafenzufahrtsstraße West,48.17318404,16.47051192,76A,3,0A295D
at:49:141:0:2,Alberner Hafenzufahrtsstraße West,48.17347159,16.47029633,76A,3,0A295D
at:49:141:0:1,Alberner Hafenzufahrtsstraße West,48.17318404,16.47051192,79B,3,0A295D
at:49:141:0:2,Alberner Hafenzufahrtsstraße West,48.17347159,16.47029633,79B,3,0A295D
at:49:18:0:2,Alberner Straße,48.15637139,16.48458852,76B,3,0A295D
at:49:18:0:1,Alberner Straße,48.1563654,16.48446276,76B,3,0A295D
at:49:1483:0:1,Albert-Schweitzer-Gasse,48.20739148,16.22231639,50B,3,0A295D
at:49:1483:0:1,Albert-Schweitzer-Gasse,48.20739148,16.22231639,N49,3,0A295D
at:49:19:0:5,Albertgasse,48.21080977,16.34397523,12,0,C00808
at:49:19:0:2,Albertgasse,48.210648140000004,16.34340929,12,0,C00808
at:49:19:0:2,Albertgasse,48.210648140000004,16.34340929,2,0,C00808
at:49:19:0:4,Albertgasse,48.21056433,16.34443337,2,0,C00808
at:49:19:0:5,Albertgasse,48.21080977,16.34397523,5,0,C00808
